fill	x	y	group
#FDFBFB	48105.5	10	170
#F6EBEA	48105.5	11	171
#F6EBEA	48106	11.5	171
#F6EBEA	48106.5	11	171
#F6EBEA	48106	10.5	171
#FBF6F5	48106	11.5	172
#FBF6F5	48106.5	12	172
#FBF6F5	48107	11.5	172
#FBF6F5	48106.5	11	172
#FCF8F7	48106.5	12	173
#FCF8F7	48107	12.5	173
#FCF8F7	48107.5	12	173
#FCF8F7	48107	11.5	173
#F2E1DF	48107	12.5	174
#F2E1DF	48107.5	13	174
#F2E1DF	48108	12.5	174
#F2E1DF	48107.5	12	174
#F2E2DF	48107.5	13	175
#F2E2DF	48108	13.5	175
#F2E2DF	48108.5	13	175
#F2E2DF	48108	12.5	175
#E8CCC8	48108	13.5	176
#E8CCC8	48108.5	14	176
#E8CCC8	48109	13.5	176
#E8CCC8	48108.5	13	176
#FAF4F3	48108.5	14	177
#FAF4F3	48109	14.5	177
#FAF4F3	48109.5	14	177
#FAF4F3	48109	13.5	177
#F2E1DF	48109	14.5	178
#F2E1DF	48109.5	15	178
#F2E1DF	48110	14.5	178
#F2E1DF	48109.5	14	178
#F9F1F0	48109.5	15	179
#F9F1F0	48110	15.5	179
#F9F1F0	48110.5	15	179
#F9F1F0	48110	14.5	179
#F3E5E3	48110	15.5	180
#F3E5E3	48110.5	16	180
#F3E5E3	48111	15.5	180
#F3E5E3	48110.5	15	180
#FDFBFA	48110.5	16	181
#FDFBFA	48111	16.5	181
#FDFBFA	48111.5	16	181
#FDFBFA	48111	15.5	181
#F6E9E8	48111	16.5	182
#F6E9E8	48111.5	17	182
#F6E9E8	48112	16.5	182
#F6E9E8	48111.5	16	182
#F8EFED	48111.5	17	183
#F8EFED	48112	17.5	183
#F8EFED	48112.5	17	183
#F8EFED	48112	16.5	183
#F5E9E8	48112	17.5	184
#F5E9E8	48112.5	18	184
#F5E9E8	48113	17.5	184
#F5E9E8	48112.5	17	184
#FBF5F4	48112.5	18	185
#FBF5F4	48113	18.5	185
#FBF5F4	48113.5	18	185
#FBF5F4	48113	17.5	185
#F7EEEC	48113	18.5	186
#F7EEEC	48113.5	19	186
#F7EEEC	48114	18.5	186
#F7EEEC	48113.5	18	186
#F6EAE9	48113.5	19	187
#F6EAE9	48114	19.5	187
#F6EAE9	48114.5	19	187
#F6EAE9	48114	18.5	187
#FEFDFD	48114	19.5	188
#FEFDFD	48114.5	20	188
#FEFDFD	48115	19.5	188
#FEFDFD	48114.5	19	188
#FEFEFF	48114.5	20	189
#FEFEFF	48115	20.5	189
#FEFEFF	48115.5	20	189
#FEFEFF	48115	19.5	189
#FAF3F3	48115	20.5	190
#FAF3F3	48115.5	21	190
